session_key,session_date,user_pseudo_id,ga_session_id,ga_session_number,channel_group,source,medium,device_category,country,session_start_ts,session_end_ts,session_duration_seconds,event_count,page_view_events,total_product_views,total_add_to_cart_events,total_begin_checkout_events,total_purchase_events,transaction_count,purchase_revenue_usd,session_engaged_flag,returning_user_flag,bounce_like_session,reached_product_view,reached_add_to_cart,reached_begin_checkout,reached_purchase,converted,funnel_stage
14177366.2643192730.4992452605,2020-11-01,14177366.264319273,4992452605,1,Organic Search,google,organic,mobile,Vietnam,2020-11-01 17:59:15.635013+00:00,2020-11-01 18:00:04.817879+00:00,49.182866,9,2,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,product_view
14944861.4406017892.2869694941,2020-11-01,14944861.440601788,2869694941,1,Organic Search,(direct),organic,mobile,United States,2020-11-01 07:59:41.903627+00:00,2020-11-01 07:59:41.903627+00:00,0.0,3,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
21357554.4662477673.8938728506,2020-11-01,21357554.466247767,8938728506,1,Organic Search,google,organic,mobile,United States,2020-11-01 08:09:47.403656+00:00,2020-11-01 08:10:39.058741+00:00,51.655085,5,1,1,0,0,0,0,0.0,0,0,1,1,0,0,0,0,product_view
40389936.7948867085.1889310163,2020-11-01,40389936.7948867,1889310163,1,Organic Search,google,organic,mobile,Turkey,2020-11-01 19:41:31.113582+00:00,2020-11-01 19:42:08.928327+00:00,37.814745,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
5396484.6525586252.2206212757,2020-11-01,5396484.652558626,2206212757,1,Organic Search,google,organic,mobile,India,2020-11-01 17:19:50.001374+00:00,2020-11-01 17:24:37.366240+00:00,287.364866,8,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
14703751.3407303552.1965125583,2020-11-01,14703751.340730356,1965125583,1,Other,(direct),(none),desktop,United States,2020-11-01 06:55:49.221882+00:00,2020-11-01 06:56:02.133157+00:00,12.911275,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
28952943.6856690790.7632587187,2020-11-01,28952943.68566908,7632587187,1,Other,(direct),(none),desktop,Canada,2020-11-01 15:36:32.667542+00:00,2020-11-01 15:36:45.020107+00:00,12.352565,5,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
56313567.8237643937.4954427461,2020-11-01,56313567.82376439,4954427461,1,Other,(direct),(none),desktop,United States,2020-11-01 02:13:11.032915+00:00,2020-11-01 02:17:10.614889+00:00,239.581974,12,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
63991504.2404816880.2643210854,2020-11-01,63991504.24048169,2643210854,1,Other,(direct),(none),desktop,Vietnam,2020-11-01 13:17:53.790171+00:00,2020-11-01 13:18:15.264686+00:00,21.474515,10,3,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,product_view
1323250.7513556826.1995576821,2020-11-01,1323250.7513556825,1995576821,2,Other,(direct),(none),mobile,South Africa,2020-11-01 08:39:42.802575+00:00,2020-11-01 08:40:18.804848+00:00,36.002273,8,3,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,session_start
32273347.6427494244.7680525846,2020-11-01,32273347.642749425,7680525846,1,Other,(direct),(none),mobile,South Korea,2020-11-01 07:24:04.015301+00:00,2020-11-01 07:25:25.196883+00:00,81.181582,7,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
33668373.3594442186.476108257,2020-11-01,33668373.359444216,476108257,1,Other,(direct),(none),mobile,United States,2020-11-01 03:20:05.267750+00:00,2020-11-01 03:20:20.295617+00:00,15.027867,5,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
40133145.2470810750.7122029557,2020-11-01,40133145.24708107,7122029557,1,Other,(direct),(none),mobile,Malaysia,2020-11-01 01:46:10.210947+00:00,2020-11-01 01:46:22.069062+00:00,11.858115,5,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
49304324.8915685586.4016812725,2020-11-01,49304324.89156856,4016812725,1,Other,(direct),(none),mobile,Canada,2020-11-01 01:49:09.966211+00:00,2020-11-01 01:49:09.966211+00:00,0.0,3,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
52981325.4725990588.9254546338,2020-11-01,52981325.47259906,9254546338,4,Other,(data deleted),(data deleted),mobile,Ireland,2020-11-01 00:49:16.104837+00:00,2020-11-01 00:50:15.625238+00:00,59.520401,13,3,1,0,0,0,0,0.0,0,1,0,1,0,0,0,0,product_view
62043972.3664213224.6514261088,2020-11-01,62043972.36642132,6514261088,1,Other,(direct),(none),mobile,France,2020-11-01 06:25:36.401349+00:00,2020-11-01 06:28:43.798389+00:00,187.39704,14,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
1839173.4952735021.5639277299,2020-11-01,1839173.495273502,5639277299,1,Other,(direct),(none),tablet,Spain,2020-11-01 06:25:50.884098+00:00,2020-11-01 06:26:04.905707+00:00,14.021609,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
31711197.7332797083.4511889610,2020-11-01,31711197.73327971,4511889610,1,Other,(direct),(none),tablet,India,2020-11-01 18:36:28.774331+00:00,2020-11-01 18:37:12.598906+00:00,43.824575,10,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
46510402.4592078570.9061619717,2020-11-01,46510402.459207855,9061619717,2,Other,(data deleted),(data deleted),tablet,United Kingdom,2020-11-01 21:10:26.865551+00:00,2020-11-01 21:10:26.865551+00:00,0.0,2,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
77935961.1963930221.2871785991,2020-11-01,77935961.19639303,2871785991,1,Other,(direct),(none),tablet,United States,2020-11-01 07:41:31.387585+00:00,2020-11-01 07:41:31.387585+00:00,0.0,3,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
45458670.5926370779.8362986156,2020-11-01,45458670.59263708,8362986156,1,Paid Search,google,cpc,desktop,Colombia,2020-11-01 09:30:57.773490+00:00,2020-11-01 09:32:45.556501+00:00,107.783011,6,1,1,0,0,0,0,0.0,0,0,1,1,0,0,0,0,product_view
59761602.8651375792.3060935301,2020-11-01,59761602.86513758,3060935301,1,Paid Search,google,cpc,desktop,United States,2020-11-01 00:39:57.514911+00:00,2020-11-01 00:40:08.714530+00:00,11.199619,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
61573713.9100523610.1917820753,2020-11-01,61573713.91005236,1917820753,1,Paid Search,google,cpc,desktop,United States,2020-11-01 15:00:31.010616+00:00,2020-11-01 15:00:36.001668+00:00,4.991052,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
6986212.5966054300.2198330758,2020-11-01,6986212.59660543,2198330758,1,Paid Search,google,cpc,desktop,France,2020-11-01 14:20:01.474121+00:00,2020-11-01 14:25:30.630089+00:00,329.155968,14,5,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,product_view
80941557.5689585721.4645640284,2020-11-01,80941557.56895858,4645640284,1,Paid Search,google,cpc,desktop,United States,2020-11-01 06:52:36.443852+00:00,2020-11-01 06:52:48.421464+00:00,11.977612,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
8400641.6151434476.9762778710,2020-11-01,8400641.615143448,9762778710,1,Paid Search,google,cpc,desktop,Canada,2020-11-01 19:32:27.166160+00:00,2020-11-01 19:32:42.690837+00:00,15.524677,6,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
1830871.7795304333.2883922711,2020-11-01,1830871.7795304332,2883922711,1,Paid Search,google,cpc,mobile,United States,2020-11-01 11:57:56.841193+00:00,2020-11-01 11:59:22.786356+00:00,85.945163,19,6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
75352196.0411130242.8879768682,2020-11-01,75352196.04111302,8879768682,1,Paid Search,google,cpc,mobile,India,2020-11-01 14:00:54.204388+00:00,2020-11-01 14:15:42.837264+00:00,888.632876,18,6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
7754124.2052719725.3291659989,2020-11-01,7754124.205271972,3291659989,1,Paid Search,google,cpc,mobile,United States,2020-11-01 00:00:06.427147+00:00,2020-11-01 00:00:15.079145+00:00,8.651998,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
4646442.4579808102.8152496627,2020-11-01,4646442.457980811,8152496627,1,Paid Search,google,cpc,tablet,United States,2020-11-01 19:24:19.460104+00:00,2020-11-01 19:24:42.119537+00:00,22.659433,10,3,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,product_view
6021873.6643018017.5844626095,2020-11-01,6021873.6643018015,5844626095,2,Paid Search,google,cpc,tablet,India,2020-11-01 04:10:01.445527+00:00,2020-11-01 04:10:01.445527+00:00,0.0,2,1,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
15857306.9226345392.9644656321,2020-11-01,15857306.92263454,9644656321,10,Referral,(direct),referral,mobile,Mexico,2020-11-01 10:13:23.820093+00:00,2020-11-01 10:13:23.820093+00:00,0.0,2,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
64415838.5259113229.6582597972,2020-11-01,64415838.52591132,6582597972,1,Referral,(direct),referral,mobile,Spain,2020-11-01 15:24:42.150761+00:00,2020-11-01 15:24:42.150761+00:00,0.0,3,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
80539973.6512211075.2519144873,2020-11-01,80539973.65122111,2519144873,5,Referral,shop.googlemerchandisestore.com,referral,mobile,United States,2020-11-01 11:40:19.144629+00:00,2020-11-01 11:44:42.698348+00:00,263.553719,4,1,1,0,0,0,0,0.0,0,1,1,1,0,0,0,0,product_view
83381195.6023017880.9197485791,2020-11-01,83381195.60230179,9197485791,1,Referral,shop.googlemerchandisestore.com,referral,mobile,India,2020-11-01 07:19:41.385303+00:00,2020-11-01 07:21:00.440806+00:00,79.055503,7,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
39100318.5747647620.7096163014,2020-11-01,39100318.57476476,7096163014,9,Referral,shop.googlemerchandisestore.com,referral,tablet,Canada,2020-11-01 06:22:20.432664+00:00,2020-11-01 06:22:24.692445+00:00,4.259781,4,1,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
4768776.5608154848.2584963370,2020-11-01,4768776.560815485,2584963370,1,Referral,shop.googlemerchandisestore.com,referral,tablet,United Kingdom,2020-11-01 03:50:13.076056+00:00,2020-11-01 03:51:21.122156+00:00,68.0461,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
6488582.8788491425.1482619447,2020-11-01,6488582.878849142,1482619447,7,Referral,(direct),referral,tablet,China,2020-11-01 21:56:04.971984+00:00,2020-11-01 21:58:21.086321+00:00,136.114337,24,6,6,0,0,0,0,0.0,0,1,0,1,0,0,0,0,product_view
8537736.5359452924.1432482359,2020-11-01,8537736.535945293,1432482359,1,Referral,(direct),referral,tablet,United States,2020-11-01 17:40:01.175796+00:00,2020-11-01 17:40:09.963677+00:00,8.787881,5,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
1558916.4999429242.894664042,2020-11-02,1558916.499942924,894664042,1,Direct,(direct),(none),desktop,Poland,2020-11-02 10:31:07.691710+00:00,2020-11-02 10:31:13.711718+00:00,6.020008,5,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
1744206.8980545134.8564684460,2020-11-02,1744206.8980545134,8564684460,1,Direct,(direct),(none),desktop,United States,2020-11-02 19:27:03.471548+00:00,2020-11-02 19:28:35.522980+00:00,92.051432,26,9,0,0,0,0,1,0.0,0,0,0,0,0,0,1,1,purchase
41110263.0994826237.1193239738,2020-11-02,41110263.099482626,1193239738,1,Direct,(direct),(none),desktop,United States,2020-11-02 21:14:26.491743+00:00,2020-11-02 21:14:35.601625+00:00,9.109882,5,1,0,0,0,0,1,0.0,0,0,1,0,0,0,1,1,purchase
6502760.2862091516.3939880678,2020-11-02,6502760.286209152,3939880678,1,Direct,(direct),(none),desktop,Canada,2020-11-02 16:26:55.335818+00:00,2020-11-02 16:30:33.773984+00:00,218.438166,19,5,2,0,0,0,1,0.0,0,0,0,1,0,0,1,1,purchase
7134131.0800674333.4646451725,2020-11-02,7134131.080067433,4646451725,1,Direct,(direct),(none),desktop,United States,2020-11-02 09:01:01.632392+00:00,2020-11-02 09:01:10.796236+00:00,9.163844,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
74603870.5211011198.5713123500,2020-11-02,74603870.52110112,5713123500,1,Direct,(direct),(none),desktop,Colombia,2020-11-02 19:55:10.328912+00:00,2020-11-02 19:55:14.184625+00:00,3.855713,5,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
1026398.8894306044.1216339849,2020-11-02,1026398.8894306044,1216339849,1,Direct,(direct),(none),mobile,Mexico,2020-11-02 03:22:38.367902+00:00,2020-11-02 04:11:28.970511+00:00,2930.602609,67,39,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
5653644.9509975544.790219374,2020-11-02,5653644.950997555,790219374,1,Direct,(direct),(none),mobile,United States,2020-11-02 15:47:51.433769+00:00,2020-11-02 15:48:12.962958+00:00,21.529189,5,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
62667045.2876051464.7363102623,2020-11-02,62667045.287605144,7363102623,6,Direct,(direct),(none),mobile,United States,2020-11-02 23:03:56.552555+00:00,2020-11-02 23:04:50.855721+00:00,54.303166,19,6,0,0,0,0,1,0.0,0,1,0,0,0,0,1,1,purchase
79553059.4531556375.6816035167,2020-11-02,79553059.45315564,6816035167,20,Direct,(direct),(none),mobile,Unknown,2020-11-02 14:57:43.735154+00:00,2020-11-02 14:58:26.720074+00:00,42.98492,8,2,0,0,0,0,1,0.0,0,1,0,0,0,0,1,1,purchase
48348822.6069610689.4436470955,2020-11-02,48348822.60696107,4436470955,1,Direct,(direct),(none),tablet,United States,2020-11-02 17:58:05.162121+00:00,2020-11-02 18:00:11.713855+00:00,126.551734,23,8,1,0,0,0,1,0.0,0,0,0,1,0,0,1,1,purchase
54739175.8535431191.1420385082,2020-11-02,54739175.85354312,1420385082,1,Direct,(direct),(none),tablet,Singapore,2020-11-02 23:29:09.725993+00:00,2020-11-02 23:29:26.427475+00:00,16.701482,7,2,0,0,0,0,1,0.0,0,0,0,0,0,0,1,1,purchase
58768173.5282404793.6326394494,2020-11-02,58768173.52824048,6326394494,1,Direct,(direct),(none),tablet,United States,2020-11-02 20:39:00.178114+00:00,2020-11-02 20:39:37.016462+00:00,36.838348,5,1,0,0,0,0,1,0.0,0,0,1,0,0,0,1,1,purchase
66232817.8173802900.2212785017,2020-11-02,66232817.81738029,2212785017,1,Direct,(direct),(none),tablet,United States,2020-11-02 12:24:50.045214+00:00,2020-11-02 12:24:50.045214+00:00,0.0,3,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
2948302.4648017964.2803391513,2020-11-02,2948302.464801796,2803391513,1,Organic Search,google,organic,desktop,United States,2020-11-02 08:19:33.716121+00:00,2020-11-02 08:20:25.275616+00:00,51.559495,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
5702116.9567227434.421906981,2020-11-02,5702116.956722743,421906981,5,Organic Search,google,organic,desktop,India,2020-11-02 20:08:04.230133+00:00,2020-11-02 20:08:40.490379+00:00,36.260246,7,2,0,0,0,0,1,0.0,0,1,0,0,0,0,1,1,purchase
67968757.8144173181.3214429777,2020-11-02,67968757.81441732,3214429777,18,Organic Search,google,organic,desktop,Israel,2020-11-02 13:00:51.847553+00:00,2020-11-02 13:01:23.309065+00:00,31.461512,10,3,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,session_start
71214277.4067432359.9670264072,2020-11-02,71214277.40674323,9670264072,7,Organic Search,(direct),organic,desktop,United States,2020-11-02 14:30:24.683506+00:00,2020-11-02 14:30:44.135213+00:00,19.451707,7,2,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,session_start
7939918.7543013103.4714155462,2020-11-02,7939918.7543013105,4714155462,1,Organic Search,google,organic,desktop,United States,2020-11-02 12:18:45.194660+00:00,2020-11-02 12:18:45.194660+00:00,0.0,3,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
47086963.1165346484.4577190326,2020-11-02,47086963.11653465,4577190326,1,Organic Search,google,organic,mobile,United States,2020-11-02 19:02:34.566129+00:00,2020-11-02 19:02:39.352065+00:00,4.785936,5,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
6386106.4468942240.568193923,2020-11-02,6386106.446894224,568193923,1,Organic Search,google,organic,mobile,Philippines,2020-11-02 17:41:14.046973+00:00,2020-11-02 17:41:31.468451+00:00,17.421478,5,1,0,0,0,0,1,0.0,0,0,1,0,0,0,1,1,purchase
8203490.4523990902.3703810648,2020-11-02,8203490.45239909,3703810648,1,Organic Search,google,organic,mobile,United States,2020-11-02 19:04:34.575948+00:00,2020-11-02 19:04:39.787774+00:00,5.211826,5,1,0,0,0,0,1,0.0,0,0,1,0,0,0,1,1,purchase
4142724.3724718488.9934055677,2020-11-02,4142724.372471849,9934055677,1,Organic Search,(direct),organic,tablet,United States,2020-11-02 03:55:49.814624+00:00,2020-11-02 03:59:02.951668+00:00,193.137044,14,4,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,product_view
5458720.5646436191.6239754719,2020-11-02,5458720.56464362,6239754719,1,Organic Search,google,organic,tablet,Vietnam,2020-11-02 20:00:43.643161+00:00,2020-11-02 20:00:58.561285+00:00,14.918124,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
7485927.2297949318.6857850744,2020-11-02,7485927.229794932,6857850744,1,Organic Search,google,organic,tablet,Switzerland,2020-11-02 06:00:57.583112+00:00,2020-11-02 06:00:57.583112+00:00,0.0,3,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
8203718.0663781899.8925565664,2020-11-02,8203718.06637819,8925565664,2,Organic Search,google,organic,tablet,United Kingdom,2020-11-02 18:18:10.584673+00:00,2020-11-02 18:31:15.014864+00:00,784.430191,20,7,3,0,0,0,1,0.0,0,1,0,1,0,0,1,1,purchase
5873599.0044666705.5772508738,2020-11-02,5873599.004466671,5772508738,2,Other,(direct),(none),desktop,United States,2020-11-02 04:06:21.347653+00:00,2020-11-02 04:06:21.347653+00:00,0.0,2,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
6436734.1168396874.449233432,2020-11-02,6436734.116839687,449233432,8,Other,(data deleted),(data deleted),desktop,India,2020-11-02 12:58:35.278309+00:00,2020-11-02 12:58:35.278309+00:00,0.0,2,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
6590983194.2726710199.1785596627,2020-11-02,6590983194.272671,1785596627,2,Other,(data deleted),(data deleted),desktop,Peru,2020-11-02 03:17:02.791079+00:00,2020-11-02 03:17:08.259764+00:00,5.468685,4,1,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
8598660.1339973343.8992407523,2020-11-02,8598660.133997334,8992407523,1,Other,(direct),(none),desktop,Taiwan,2020-11-02 10:12:34.248317+00:00,2020-11-02 10:12:43.976037+00:00,9.72772,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
8876141.1213299136.4303961580,2020-11-02,8876141.121329913,4303961580,4,Other,(data deleted),(data deleted),desktop,United States,2020-11-02 23:36:05.438129+00:00,2020-11-02 23:36:05.438129+00:00,0.0,2,1,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
21981068.9730315460.2408647448,2020-11-02,21981068.973031543,2408647448,2,Other,(data deleted),(data deleted),mobile,Spain,2020-11-02 13:37:28.459250+00:00,2020-11-02 13:37:28.459250+00:00,0.0,2,1,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
28402746.7111679340.4699304040,2020-11-02,28402746.711167935,4699304040,1,Other,(direct),(none),mobile,France,2020-11-02 13:03:47.585419+00:00,2020-11-02 13:04:28.402597+00:00,40.817178,17,6,0,0,0,0,1,0.0,0,0,0,0,0,0,1,1,purchase
3506371140.8780441941.267695272,2020-11-02,3506371140.878044,267695272,1,Other,(direct),(none),mobile,Peru,2020-11-02 06:45:14.681949+00:00,2020-11-02 06:45:23.232769+00:00,8.55082,5,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
4610921.3005679855.4631101570,2020-11-02,4610921.3005679855,4631101570,2,Other,(direct),(none),mobile,United Kingdom,2020-11-02 20:02:49.055299+00:00,2020-11-02 20:02:49.055299+00:00,0.0,2,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
4680453.2833102559.5680926240,2020-11-02,4680453.283310256,5680926240,1,Other,(direct),(none),mobile,United States,2020-11-02 22:05:16.183685+00:00,2020-11-02 22:06:02.579000+00:00,46.395315,5,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
51173565.7171881093.3914439094,2020-11-02,51173565.71718811,3914439094,6,Other,(data deleted),(data deleted),mobile,United States,2020-11-02 01:09:18.000710+00:00,2020-11-02 01:09:18.000710+00:00,0.0,2,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
63646872.6390955205.8452587396,2020-11-02,63646872.63909552,8452587396,1,Other,(direct),(none),mobile,United States,2020-11-02 22:51:18.925181+00:00,2020-11-02 22:52:29.837335+00:00,70.912154,8,2,0,0,0,0,1,0.0,0,0,0,0,0,0,1,1,purchase
7221308.5784939778.7408987198,2020-11-02,7221308.578493978,7408987198,1,Other,(direct),(none),mobile,United States,2020-11-02 00:47:52.109106+00:00,2020-11-02 00:47:53.848920+00:00,1.739814,5,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
76814411.4382049582.8519426563,2020-11-02,76814411.43820496,8519426563,3,Other,(data deleted),(data deleted),mobile,India,2020-11-02 22:47:52.961596+00:00,2020-11-02 22:47:52.961596+00:00,0.0,2,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
31630799.1939298856.4900201794,2020-11-02,31630799.193929885,4900201794,1,Other,(direct),(none),tablet,United States,2020-11-02 17:32:17.513759+00:00,2020-11-02 17:33:19.961072+00:00,62.447313,9,2,1,0,0,0,1,0.0,0,0,0,1,0,0,1,1,purchase
41280451.5966697273.3128890279,2020-11-02,41280451.596669726,3128890279,2,Other,(data deleted),(data deleted),tablet,India,2020-11-02 07:28:38.841023+00:00,2020-11-02 07:28:38.841023+00:00,0.0,2,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
2741380.2646484085.3176302820,2020-11-02,2741380.2646484086,3176302820,1,Paid Search,google,cpc,desktop,Sweden,2020-11-02 21:19:11.079134+00:00,2020-11-02 21:38:56.187698+00:00,1185.108564,39,16,2,0,0,0,1,0.0,0,0,0,1,0,0,1,1,purchase
41246713.7677840004.8066800032,2020-11-02,41246713.767784,8066800032,1,Paid Search,google,cpc,desktop,South Korea,2020-11-02 23:39:25.930940+00:00,2020-11-02 23:39:52.761226+00:00,26.830286,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
5213205488.9370696183.9159807382,2020-11-02,5213205488.93707,9159807382,1,Paid Search,google,cpc,desktop,China,2020-11-02 21:11:37.302605+00:00,2020-11-02 21:11:37.302605+00:00,0.0,3,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
56146721.3307260537.8570083502,2020-11-02,56146721.33072606,8570083502,1,Paid Search,google,cpc,desktop,United States,2020-11-02 23:01:26.557043+00:00,2020-11-02 23:01:50.159315+00:00,23.602272,9,2,0,0,0,0,1,0.0,0,0,0,0,0,0,1,1,purchase
7152043.4471735496.5828039656,2020-11-02,7152043.44717355,5828039656,1,Paid Search,google,cpc,desktop,United States,2020-11-02 13:09:22.554033+00:00,2020-11-02 13:10:50.593889+00:00,88.039856,6,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
7664475.1853992330.1764056707,2020-11-02,7664475.185399233,1764056707,2,Paid Search,google,cpc,desktop,India,2020-11-02 07:09:51.860257+00:00,2020-11-02 07:09:58.125126+00:00,6.264869,3,1,0,0,0,0,1,0.0,0,1,1,0,0,0,1,1,purchase
8527749.6869524639.3133373270,2020-11-02,8527749.686952464,3133373270,1,Paid Search,google,cpc,desktop,India,2020-11-02 19:43:33.584939+00:00,2020-11-02 19:44:12.624820+00:00,39.039881,10,3,0,0,0,0,1,0.0,0,0,0,0,0,0,1,1,purchase
